id,start_date,end_date,dates_txt,latitude,longitude,location_label,zoom,involved_countries,title,text,photography,photo_caption,photo_credits,additional_material,additional_material_caption
event_01,28.06.1914,,,43.856259,18.413076,Sarajevo,,Austria Hung|Serbia|UK|France|Germany|Russia,Attentat von Sarajevo                                                                                                                                ,"In Sarajevo werden der österreichische Thronfolger Franz Ferdinand und seine Frau von Schüssen serbischer Nationalisten getötet. Das Attentat löst zunächst diplomatische, dann militärische Aktivitäten aus. Der schwelende Konflikt zwischen den fünf Grossmächten – Grossbritannien, Frankreich, Deutschland, Österreich-Ungarn und Russland – sowie Serbien eskaliert. Diese «Juli-Krise» mündet in den Ausbruch des Ersten Weltkriegs, der Europas Landkarte für immer verändern wird.",01---franz-ferdinand-am-tag-der-ermordung,"Thronfolger Franz Ferdinand in Sarajevo, fünf Minuten vor dem Attentat.",Europeana 1914-1918,3. Military Strength,
event_02,06.07.1914,,,48.208174,16.373819,Wien,1670,Austria Hung|Serbia|Germany|Russia,Deutsche «Blankovollmacht» für Österreich-Ungarn,"Für ein Vorgehen gegen Serbien sucht Österreich-Ungarn die Rückendeckung Deutschlands. Der deutsche Kaiser Wilhelm II., der zunächst noch zur Vorsicht rät, sichert Österreich-Ungarn die bedingungslose Bündnistreue zu und stellt damit die sogenannte «Blankovollmacht» für Österreich-Ungarn aus. Dies soll auch zur Abschreckung Russlands dienen. Österreich-Ungarn stellt Serbien am 23. Juli ein befristetes Ultimatum, das nahezu unerfüllbare Forderungen an Serbien enthält.",02---kaiser_wilhelm2_blankovollmacht,"Porträt von Kaiser Wilhelm II., aufgenommen von dessen Hoffotografen Thomas Heinrich Voigt, 1902.",Thomas Heinrich Voigt,1. Nationalities Austria-Hungary,
event_03,28.07.1914,,,48.208174,16.373819,Wien,1350,Austria Hung|Serbia,Österreich-Ungarn erklärt Serbien den Krieg,Belgrad taktiert und akzeptiert unter Einhaltung des Ultimatums von 48 Stunden weitgehend die Forderungen Österreich-Ungarns. Wien erachtet die serbische Antwort als nicht ausreichend und bricht die diplomatischen Beziehungen ab. Am selben Tag leitet die Doppelmonarchie die Mobilisierung der Armee ein. Am 28. Juli erklärt Österreich-Ungarn Serbien den Krieg. Bereits einen Tag später beschiessen Habsburger Truppen die serbische Hauptstadt Belgrad. In den folgenden Monaten greifen die hochgerüsteten Bündnispartner in den Krieg ein.,03--28071914_Invasion_Serbien,Am 25. Juli 1914 verkündet König Peter I. in Belgrad die Mobilmachung. ,Keystone,,
event_04,01.08.1914,,,52.520007,13.404954,Berlin,760,Germany|Austria Hung|Russia,Deutschland erklärt Russland den Krieg,"Nach der deutschen Kriegserklärung an Russland greift der «Schlieffen-Plan». Der deutsche Operationsplan, benannt nach Generalstabschef Alfred Graf von Schlieffen (1833–1913), sieht eine schnelle militärische Entscheidung an der Westfront vor. Danach sollen die deutschen Truppen im Osten verstärkt und soll damit eine Entscheidung gegen Russland erzwungen werden. Durch die Konzentration der Truppen an jeweils einer Front soll zugleich die zahlenmässige Unterlegenheit der beiden Mittelmächte Deutschland und Österreich-Ungarn gegenüber der Entente ausgeglichen werden.",04---mobilmachungsbefehl,Mobilmachungsbefehl für die deutschen Streitkräfte mit den Unterschriften von Kaiser Wilhelm II. und Kanzler Theobald von Bethmann-Hollweg.,Deutsches Historisches Museum,mobilmachung-1914,Mobilmachungsbefehl für die deutschen Streikräfte mit der Unterschrift Kaiser Wilhelms II. (Deutsches Hisotrisches Museum)
event_05,03.08.1914,,,52.520007,13.404954,Berlin,1070,Germany|Luxembourg|France,Deutschland erklärt Frankreich den Krieg,"Ohne offizielle Kriegserklärung beginnen die Kriegshandlungen in Europa mit der Besetzung Luxemburgs durch deutsche Truppen am 2. August. Einen Tag nach diesem Einmarsch erklärt Deutschland Frankreich den Krieg. Der Vormarsch im Westen wird sich zu einem Stellungskampf entwickeln, der die mörderische Technisierung dieses Krieges mitprägen wird. Diese zeigt sich auf dem Land, ebenso zur See und in der Luft. Rund die Hälfte der gefallenen Soldaten wird durch Artilleriefeuer sterben. Ab 1915 kommt Giftgas erstmals zum Einsatz und fordert Tausende von Toten unter den Soldaten.",05---kriegserklaerung_frankreich,Truppentransport im August 1914: Deutsche Soldaten winken aus einem Eisenbahnwaggon.,Oscar Tellgmann,2. Country Size & Population,
event_06,04.08.1914,,,51.508515,-0.125487,London,1077,Germany|Russia|UK|France,Grossbritannien erklärt Deutschland den Krieg,"Nach dem deutschen Einmarsch in das neutrale Belgien tritt Grossbritannien als dessen Schutzmacht dem Krieg aufseiten der russisch-französischen Entente bei. Bis zum Ende des Weltkriegs bleiben mehr als zehn Länder dauerhaft neutral, darunter die Schweiz, Norwegen und die Niederlande. Für Grossbritannien beginnt der Krieg zunächst zur See. Die Royal Navy blockiert die deutsche Nordseeküste und die dortigen Häfen und sichert damit den Versorgungsraum für Nahrungsmittel und andere wichtige Güter für die Britischen Inseln.",06---The_Times_placard_Britain_at_War_Aug_1914,Aushang der «Times»: «Grossbritannien im Krieg».,IWM,,
event_07,23.08.1914,,,35.689488,139.691706,Tokio,480,Japan|UK|Germany|ManchuEmpire,Japan erklärt den Mittelmächten den Krieg,"Zu Beginn des Kriegs bleibt Japan zunächst neutral, wird dann aber von Grossbritannien um Mithilfe gebeten. Die beiden Länder formieren sich und fordern Deutschland dazu auf, alle Soldaten und Schiffe aus japanischen und chinesischen Gewässern abzuziehen sowie die Pachtgebiete um den Hafen im chinesischen Tsingtau zu übertragen. Das Ultimatum verstreicht, und Japan erklärt daraufhin Deutschland den Krieg. Nach erbitterter Verteidigung kapituliert der deutsche Marinestützpunkt am 7. November 1914 vor den Japanern.",07---tsingtao,Im deutschen Schutzgebiet Kiautschou mit seinem Zentrum Tsingtau an der chinesischen Ostküste befand sich die vorderste deutsche Frontlinie.,Institut für Meereskunde / Deutsches Bundesarchiv,,
event_08,26.08.1914,30.08.1914,,53.3529,20.4788,Tannenberg,,Russia|Germany,Schlacht bei Tannenberg,Im Osten entwickelt sich das Kampfgeschehen zunächst anders als aus deutscher Sicht erwartet. Russland mobilisiert seine Truppen früher als vermutet. Doch trotz zahlenmässiger Unterlegenheit gelingt den deutschen Truppen in der Schlacht bei Tannenberg in Ostpreussen die Einschliessung der 2. Russischen Armee. Die Schlachten bei Tannenberg und an den Masurischen Seen im Spätsommer 1914 markieren den Beginn der deutschen Offensive im Osten.,08---tannenberg,"Die Schlacht bei Tannenberg endete mit einem Sieg der deutschen Truppen. Russische Soldaten in Kriegsgefangenschaft, 30. August 1914.",Hulton Archiv,,
event_09,05.09.1914,12.09.1914,,49.128754,4.147544,Marne,2000,France|Germany,Die Marne-Schlacht,Ein französischer Gegenangriff bringt den Vormarsch deutscher Truppen im Westen zum Stehen. Zu Beginn der Marne-Schlacht kämpfen 750'000 deutsche Soldaten gegen eine Million Soldaten der Alliierten. Die Schlacht endet mit dem Rückzug Deutschlands. Damit ist der «Schlieffen-Plan» gescheitert. Der Bewegungskrieg wird zum Stellungskrieg.,09---French_soldiers_ditch_1914,Französische Soldaten in Erwartung eines Angriffs.,Bibliothèque nationale de France,,
event_10,29.10.1914,,,41.00527,28.97696,Konstantinopel,1000,Bulgaria|Germany|Austria Hung|TurkishEmpir,Das Osmanische Reich tritt in den Krieg ein,"Im Herbst 1914 tritt das Osmanische Reich, zunächst neutral, dem Weltkrieg aufseiten der Mittelmächte bei. Ausser dem Osmanischen Reich zählt auch Bulgarien zu diesem Viererbund. Am 14. Oktober 1915 tritt Bulgarien an der Seite der Mittelmächte in den Krieg ein. Bulgarien gilt bis anhin als stärkste militärische Kraft auf dem Balkan, weshalb sowohl die Mittelmächte als auch die Entente starkes Interesse an einem Bündnis haben.",10---Wilhelm_II_in_Konstantinopel,Kaiser Wilhelm II. unterhält sich in Konstantinopel mit Botschaftern der befreundeten Mächte.,Deutsches Bundesarchiv,viererbund,Eine Postkarte zeigt die Anführer der Mittelmächte (von links): Kaiser Wilhelm II. (Deutsches Reich) Kaiser Franz Joseph I. (Österreich-Ungarn) Sultan Mehmed V. (Osmanisches Reich) Zar Ferdinand I. (Bulgarien). (Publ. Photochemie Berlin No. 3603)
