Quellen,url,
AP,,
Archiv der Neuen Zürcher Zeitung,http://zeitungsarchiv.nzz.ch/,
Arte,"http://www.arte.tv/de/chronologie/1346324,CmC=1346124.html",
BBC,http://www.bbc.co.uk/history/worldwars/wwone/,
"Broadberry, S. und Harrison, M. (2005), The Economics of World War I, Cambridge: Cambridge University Press.",,
Bundeszentrale für politische Bildung,http://www.bpb.de/geschichte/deutsche-geschichte/ersterweltkrieg/,
"Cartarius, U. (1982), Deutschland im Ersten Weltkrieg. Texte und Dokumente 1914-1918, München: Deutscher Taschenbuch Verlag.",,
"Clark, C. (2012), The Sleepwalkers: How Europe Went to War in 1914, New York: HarperCollins Publishers.",,
Deutsche Presseagentur,,
Deutsches Historisches Museum,http://www.dhm.de/lemo/html/wk1/kriegsverlauf/index.html,
DIE ZEIT,,
"Fisher, J. (1999), Curzon and British imperialism in the Middle East, 1916–19, London: Frank Cass.",,
"Hirschfeld, G. und Krumreich, G. (2013), Deutschland im Ersten Weltkrieg, S. Fischer.",,
"Hirschfeld, G., Krumreich, G. und Renz, I. (2003), Enzyklopädie Erster Weltkrieg, Zürich: Neue Zürcher Zeitung. ",,
Imperial War Museums,http://www.iwm.org.uk/,
"Krumreich, G. (2013), Juli 1914. Eine Bilanz. Mit einem Anhang: 50 Schlüsseldokumente zum Kriegsausbruch, Ferdinand Schöningh.",,
"MacMillan, M. (2013), The War that Ended Peace: How Europe abandoned peace for the First World War, London: Profile Books.",,
"Müller-Wolfer, Th. (1981), Putzger Historischer Atlas zur Welt- und Schweizer Geschichte, Aarau: Sauerländer.",,
"Münkler, H. (2013), Der Grosse Krieg. Die Welt 1914-1918, Berlin: Rowohlt.",,
Nationa Archives,http://www.archives.gov/research/military/ww1/,
Neue Zürcher Zeitung,,
"Nicolson, C. (2001), The Longman Companion to the First World War, Europe 1914-1918, London: Pearson Education.",,
PBS,http://www.pbs.org/greatwar/,
"Robinson, D. (1962), The Zeppelin in Combat. A History of the German Naval Airship Divison, 1912-1918, London.",,
"SPIEGEL ONLINE: Europa, Grenzen und Frontverläufe ",http://www.spiegel.de/politik/deutschland/erster-weltkrieg-die-wichtigsten-schlachten-und-frontverlaeufe-a-940133.html#,
"Weiler, T. (2006): Bug-Offensive, in: Tucker, S. und Roberts, P. (Hrsg.): The Encyclopedia of World War I: A Political, Social, and Military History, Santa Barbara.",,
Wikipedia,,
,,
Die politischen Grenzen auf der Weltkarte basieren auf dem Jahr 1914 und sind eine Rekonstruktion von historischem Kartenmaterial.,,
,,
Impressum,,
Redaktion,"Sylke Gruhnwald, Alice Kohli, Werner Marti, Thomas Preusse, Stefan Reis Schweizer",
Mitarbeit,Nikolai Thelitz,
Archiv,"Barbara Stolba, Ruth Haener",
Transkription,Evelyn Hauser,
Bild,Gilles Steinmann,
Design und Umsetzung,"Interactive Things - Tania Boa, Ilya Boyandin, Benjamin Wiederkehr",http://www.interactivethings.com/
